id,E,DeltaE,group_id,is_outlier,energy_bucket
0,-1547.657785,9.551674999999932,19,0,high
1,-1552.612539,4.596921000000066,20,0,mid
10,-1555.417784,1.7916760000000522,21,0,low
100,-1552.217633,4.9918270000000575,22,0,mid
101,-1552.886542,4.322918000000072,23,0,mid
102,-1544.625769,12.583691000000044,24,0,high
103,-1548.519202,8.690258000000085,25,0,high
104,-1550.422329,6.787131000000045,26,0,mid
105,-1551.619445,5.590014999999994,27,0,mid
106,-1550.422336,6.787123999999949,28,0,mid
107,-1549.506412,7.703048000000081,29,0,high
108,-1550.116729,7.092730999999958,30,0,mid
109,-1546.356808,10.852652000000036,31,0,high
11,-1554.756643,2.4528170000000955,32,0,low
110,-1549.161931,8.04752899999994,33,0,high
111,-1555.687918,1.521541999999954,34,0,low
112,-1550.2891,6.920360000000073,35,0,mid
113,-1555.23919,1.970270000000028,36,0,low
114,-1555.239197,1.970262999999932,37,0,low
115,-1555.19279,2.0166699999999764,38,0,low
116,-1548.984913,8.22454700000003,39,0,high
117,-1547.451362,9.758098000000018,40,0,high
118,-1554.413958,2.795501999999942,41,0,low
119,-1548.942856,8.266604000000143,42,0,high
12,-1554.008166,3.2012939999999617,43,0,low
120,-1550.896967,6.312493000000131,44,0,mid
121,-1553.507074,3.702385999999933,45,0,low
122,-1552.581328,4.6281320000000505,46,0,mid
123,-1546.819741,10.389719000000014,47,0,high
124,-1546.717161,10.492299000000004,48,0,high
125,-1545.073909,12.135551000000078,49,0,high
126,-1546.874346,10.335113999999976,50,0,high
127,-1546.662154,10.547305999999937,51,0,high
128,-1551.041262,6.168198000000075,52,0,mid
129,-1552.849328,4.360132000000021,53,0,mid
13,-1554.128204,3.08125599999994,54,0,low
130,-1548.496892,8.712568000000147,55,0,high
131,-1548.496894,8.712565999999924,56,0,high
132,-1548.496886,8.712574000000131,57,0,high
133,-1550.714961,6.494499000000133,58,0,mid
134,-1551.03691,6.172550000000001,59,0,mid
135,-1548.942851,8.266609000000017,60,0,high
136,-1551.048898,6.160562000000027,61,0,mid
137,-1553.737843,3.471616999999924,62,0,low
138,-1551.688837,5.520623000000114,63,0,mid
139,-1552.557847,4.6516129999999976,64,0,mid
14,-1552.866415,4.343045000000075,65,0,mid
140,-1553.635898,3.573562000000038,66,0,low
141,-1553.639366,3.5700939999999264,67,0,low
142,-1543.034624,14.17483600000014,68,0,high
143,-1549.161871,8.047589000000016,69,0,high
144,-1551.041267,6.168192999999974,70,0,mid
145,-1552.169405,5.040054999999938,71,0,mid
146,-1551.041271,6.168188999999984,72,0,mid
147,-1545.269752,11.93970800000011,73,0,high
148,-1554.182181,3.027279000000135,74,0,low
149,-1546.873976,10.335483999999951,75,0,high
15,-1551.37442,5.835039999999935,76,0,mid
150,-1551.516846,5.692614000000049,77,0,mid
151,-1551.516843,5.692616999999927,78,0,mid
152,-1544.63298,12.576479999999949,79,0,high
153,-1550.680563,6.528897000000143,80,0,mid
154,-1548.496834,8.712626,81,0,high
156,-1548.886641,8.322818999999981,82,0,high
157,-1553.868871,3.3405890000001364,83,0,low
158,-1549.718818,7.49064199999998,84,0,high
159,-1551.456898,5.752562000000125,85,0,mid
16,-1550.84607,6.363389999999981,86,0,mid
160,-1553.788891,3.420569000000114,87,0,low
161,-1551.884971,5.324489000000085,88,0,mid
162,-1549.76543,7.444030000000112,89,0,high
163,-1551.023051,6.18640900000014,90,0,mid
164,-1551.721778,5.48768199999995,91,0,mid
165,-1549.495734,7.713725999999951,92,0,high
166,-1551.938352,5.27110800000014,93,0,mid
167,-1549.048909,8.160550999999941,94,0,high
168,-1552.790898,4.418562000000065,95,0,mid
169,-1553.046909,4.162551000000121,96,0,mid
17,-1551.374404,5.835056000000122,97,0,mid
170,-1550.379914,6.829545999999937,98,0,mid
171,-1551.426597,5.782863000000134,99,0,mid
172,-1551.778221,5.431239000000005,100,0,mid
173,-1551.568962,5.64049799999998,101,0,mid
174,-1553.048988,4.160472000000027,102,0,mid
175,-1551.248134,5.961326000000099,103,0,mid
176,-1550.379935,6.829525000000103,104,0,mid
177,-1551.619152,5.59030800000005,105,0,mid
178,-1552.788836,4.420624000000089,106,0,mid
179,-1551.148592,6.060868000000028,107,0,mid
18,-1544.773777,12.435682999999926,108,0,high
180,-1552.075679,5.133780999999999,109,0,mid
181,-1551.680602,5.528858000000128,110,0,mid
182,-1552.449509,4.759951000000001,111,0,mid
183,-1550.843107,6.366353000000117,112,0,mid
184,-1551.455233,5.754227000000128,113,0,mid
185,-1549.169824,8.039635999999973,114,0,high
186,-1553.031473,4.17798700000003,115,0,mid
187,-1553.755614,3.4538460000001123,116,0,low
188,-1547.449101,9.760359000000108,117,0,high
189,-1551.039607,6.169853000000103,118,0,mid
19,-1549.039125,8.170335000000023,119,0,high
190,-1551.916316,5.293143999999984,120,0,mid
191,-1553.108309,4.101151000000073,121,0,mid
192,-1552.512237,4.697223000000122,122,0,mid
193,-1552.727047,4.482412999999951,123,0,mid
194,-1550.386529,6.822930999999926,124,0,mid
195,-1550.873865,6.335595000000012,125,0,mid
196,-1554.364084,2.8453759999999875,126,0,low
197,-1551.375554,5.83390600000007,127,0,mid
198,-1554.016208,3.193252000000029,128,0,low
199,-1551.716509,5.492950999999948,129,0,mid
2,-1549.729217,7.480242999999973,130,0,high
20,-1550.802695,6.40676499999995,131,0,mid
200,-1553.209933,3.999526999999944,132,0,low
201,-1553.274827,3.934633000000076,133,0,low
202,-1552.578575,4.630885000000035,134,0,mid
203,-1553.012721,4.19673899999998,135,0,mid
204,-1551.698414,5.511046000000079,136,0,mid
205,-1553.787663,3.4217969999999696,137,0,low
206,-1550.104063,7.105397000000039,138,0,mid
207,-1551.265371,5.944089000000076,139,0,mid
208,-1551.579343,5.630116999999927,140,0,mid
209,-1551.922574,5.286886000000095,141,0,mid
21,-1549.254818,7.954642000000149,142,0,high
210,-1553.214181,3.9952789999999823,143,0,low
211,-1552.032323,5.17713700000013,144,0,mid
212,-1552.074969,5.1344910000000255,145,0,mid
213,-1554.257775,2.9516849999999977,146,0,low
214,-1553.042783,4.166676999999936,147,0,mid
215,-1552.735692,4.473768000000064,148,0,mid
216,-1552.489716,4.719743999999992,149,0,mid
217,-1549.633575,7.575884999999971,150,0,high
218,-1552.124607,5.0848530000000665,151,0,mid
219,-1551.263548,5.945912000000135,152,0,mid
22,-1547.542917,9.666543000000049,153,0,high
220,-1553.331311,3.878149000000121,154,0,low
221,-1552.55609,4.653369999999995,155,0,mid
222,-1552.210494,4.9989660000001095,156,0,mid
223,-1551.86897,5.340490000000045,157,0,mid
224,-1553.177031,4.032429000000093,158,0,mid
225,-1553.546726,3.662734,159,0,low
226,-1553.261349,3.948110999999926,160,0,low
227,-1552.659573,4.549887000000126,161,0,mid
228,-1552.845255,4.364205000000084,162,0,mid
229,-1550.638124,6.571335999999974,163,0,mid
23,-1551.627313,5.582147000000077,164,0,mid
230,-1552.23283,4.976630000000114,165,0,mid
231,-1552.110241,5.099218999999948,166,0,mid
232,-1551.357655,5.851805000000013,167,0,mid
233,-1552.367494,4.841965999999957,168,0,mid
234,-1548.790045,8.419415000000072,169,0,high
235,-1553.957533,3.2519270000000238,170,0,low
236,-1553.713933,3.4955270000000382,171,0,low
237,-1554.207672,3.001788000000033,172,0,low
238,-1551.05167,6.157789999999977,173,0,mid
239,-1549.976112,7.233347999999978,174,0,mid
24,-1555.721965,1.4874950000000808,175,0,low
240,-1551.211287,5.998172999999952,176,0,mid
241,-1551.662819,5.546641000000136,177,0,mid
242,-1553.209845,3.999614999999949,178,0,low
243,-1555.680568,1.5288920000000417,179,0,low
244,-1552.95631,4.253150000000005,180,0,mid
245,-1552.083989,5.125471000000061,181,0,mid
246,-1550.961742,6.247718000000077,182,0,mid
247,-1553.345388,3.8640720000000783,183,0,low
248,-1554.035365,3.1740950000000794,184,0,low
249,-1551.799014,5.410446000000093,185,0,mid
25,-1550.854979,6.354481000000078,186,0,mid
250,-1551.946492,5.262968000000001,187,0,mid
251,-1552.917706,4.291754000000083,188,0,mid
252,-1550.635412,6.574047999999948,189,0,mid
253,-1553.182775,4.026685000000043,190,0,low
254,-1551.642426,5.567034000000149,191,0,mid
255,-1550.198835,7.010625000000118,192,0,mid
256,-1553.125801,4.083659000000125,193,0,mid
257,-1553.461154,3.748305999999957,194,0,low
258,-1552.351316,4.858144000000038,195,0,mid
259,-1554.009292,3.200168000000076,196,0,low
26,-1554.608889,2.6005709999999453,197,0,low
260,-1551.914427,5.295033000000103,198,0,mid
261,-1551.830198,5.379261999999926,199,0,mid
262,-1552.366152,4.843307999999979,200,0,mid
263,-1553.586011,3.623448999999937,201,0,low
264,-1550.474668,6.73479199999997,202,0,mid
265,-1550.610802,6.598658000000114,203,0,mid
266,-1551.874621,5.334839000000102,204,0,mid
267,-1551.504715,5.704745000000003,205,0,mid
268,-1551.621529,5.587931000000026,206,0,mid
269,-1551.437164,5.772296000000097,207,0,mid
27,-1550.854957,6.354503000000022,208,0,mid
270,-1551.392567,5.816892999999936,209,0,mid
271,-1555.796442,1.4130179999999657,210,0,low
272,-1554.24416,2.96530000000007,211,0,low
273,-1554.417046,2.792414000000008,212,0,low
274,-1551.32226,5.887200000000121,213,0,mid
275,-1555.438587,1.7708729999999375,214,0,low
276,-1551.769261,5.440199000000121,215,0,mid
277,-1554.470402,2.7390580000001137,216,0,low
278,-1553.427102,3.782357999999931,217,0,low
279,-1553.57009,3.639370000000099,218,0,low
28,-1554.990032,2.219428000000107,219,0,low
280,-1553.696638,3.512822000000142,220,0,low
281,-1555.166257,2.0432029999999486,221,0,low
282,-1552.37699,4.8324700000000576,222,0,mid
283,-1553.460688,3.748772000000145,223,0,low
284,-1552.678471,4.5309890000000905,224,0,mid
285,-1553.667577,3.541883000000098,225,0,low
286,-1553.930584,3.278876000000082,226,0,low
287,-1551.844263,5.36519700000008,227,0,mid
288,-1553.835336,3.374123999999938,228,0,low
289,-1551.7881,5.42136000000005,229,0,mid
29,-1548.396871,8.812589000000116,230,0,high
290,-1550.95582,6.253640000000132,231,0,mid
291,-1552.829693,4.379767000000129,232,0,mid
292,-1551.311521,5.897938999999951,233,0,mid
293,-1554.442154,2.7673059999999623,234,0,low
294,-1553.667805,3.541654999999992,235,0,low
295,-1552.805211,4.404248999999936,236,0,mid
296,-1553.949756,3.259704000000056,237,0,low
297,-1554.2955,2.9139600000000883,238,0,low
298,-1552.069902,5.139558000000079,239,0,mid
299,-1553.880941,3.328519000000142,240,0,low
3,-1551.848471,5.360989000000018,241,0,mid
30,-1554.661088,2.548371999999972,242,0,low
300,-1552.56552,4.64393999999993,243,0,mid
301,-1551.841099,5.36836100000005,244,0,mid
302,-1555.594658,1.6148020000000542,245,0,low
303,-1551.426123,5.783337000000074,246,0,mid
304,-1554.876582,2.332877999999937,247,0,low
305,-1547.329156,9.880304000000024,248,0,high
306,-1552.054229,5.155230999999958,249,0,mid
307,-1552.976783,4.232676999999967,250,0,mid
308,-1550.805263,6.404197000000067,251,0,mid
309,-1543.449071,13.760389000000032,252,0,high
31,-1549.186521,8.022938999999951,253,0,high
310,-1551.834287,5.375173000000132,254,0,mid
311,-1551.003825,6.205635000000029,255,0,mid
312,-1553.987531,3.2219290000000456,256,0,low
313,-1555.674617,1.5348430000001372,257,0,low
314,-1555.676499,1.532961000000114,258,0,low
315,-1555.942373,1.2670869999999468,0,0,low
316,-1555.942377,1.2670829999999569,0,0,low
317,-1541.630744,15.578715999999986,259,1,high
318,-1555.674641,1.5348189999999704,260,0,low
319,-1555.676496,1.5329639999999929,261,0,low
32,-1548.886616,8.322844000000032,262,0,high
320,-1555.674627,1.534832999999935,263,0,low
321,-1549.316975,7.892485000000079,264,0,high
322,-1551.880711,5.328749000000016,265,0,mid
323,-1553.997718,3.2117419999999584,266,0,low
324,-1551.880767,5.32869299999993,267,0,mid
325,-1551.880754,5.328706000000011,268,0,mid
326,-1552.507851,4.701608999999962,269,0,mid
327,-1551.06244,6.147020000000111,270,0,mid
328,-1554.514728,2.694731999999931,271,0,low
329,-1554.514736,2.694723999999951,272,0,low
33,-1548.886606,8.322854000000007,273,0,high
330,-1550.89562,6.313840000000027,274,0,mid
331,-1555.507573,1.7018869999999424,275,0,low
332,-1555.924234,1.285225999999966,276,0,low
333,-1553.5287,3.680759999999964,277,0,low
334,-1551.598211,5.611249000000044,278,0,mid
335,-1545.206294,12.003165999999965,279,0,high
336,-1555.676499,1.532961000000114,280,0,low
337,-1555.288757,1.9207030000000032,281,0,low
338,-1552.226529,4.982931000000008,282,0,mid
339,-1547.468634,9.74082599999997,283,0,high
34,-1551.754481,5.454979000000094,284,0,mid
340,-1554.505303,2.704157000000123,285,0,low
341,-1553.216216,3.993244000000004,286,0,low
342,-1550.931429,6.278031000000055,287,0,mid
343,-1551.682761,5.526699000000008,288,0,mid
344,-1541.592041,15.617418999999929,289,1,high
345,-1552.440825,4.768635000000131,290,0,mid
346,-1552.953984,4.255476000000044,291,0,mid
347,-1554.322171,2.8872890000000098,292,0,low
348,-1554.381549,2.8279110000000856,293,0,low
349,-1550.833383,6.376077000000123,294,0,mid
35,-1552.632255,4.577205000000049,295,0,mid
350,-1557.20946,0.0,296,0,low
351,-1557.196241,0.0132189999999354,297,0,low
352,-1547.253791,9.955668999999943,298,0,high
353,-1550.26202,6.947440000000142,299,0,mid
354,-1551.88783,5.321630000000141,1,0,mid
355,-1549.47655,7.732909999999947,300,0,high
356,-1547.749363,9.460097000000133,301,0,high
357,-1547.749368,9.460092000000031,302,0,high
358,-1550.262028,6.947431999999935,303,0,mid
359,-1549.476558,7.732901999999967,304,0,high
36,-1551.044414,6.165046000000075,305,0,mid
360,-1547.749368,9.460092000000031,306,0,high
361,-1546.090025,11.119435000000069,307,0,high
362,-1550.210642,6.998818000000028,308,0,mid
363,-1551.887828,5.321632000000136,1,0,mid
364,-1550.262022,6.947438000000147,309,0,mid
365,-1550.262028,6.947431999999935,310,0,mid
366,-1551.887829,5.321631000000025,1,0,mid
367,-1551.887826,5.321634000000131,1,0,mid
368,-1546.774449,10.435011000000031,311,0,high
369,-1548.385083,8.82437700000014,312,0,high
37,-1545.768118,11.441342000000075,313,0,high
370,-1554.932966,2.276493999999957,314,0,low
371,-1548.465157,8.744302999999945,315,0,high
372,-1549.354072,7.855387999999948,316,0,high
373,-1547.094597,10.114863000000014,317,0,high
374,-1549.494856,7.714604000000008,318,0,high
375,-1551.318756,5.890704000000142,319,0,mid
376,-1550.081088,7.128372000000127,320,0,mid
377,-1548.409178,8.800281999999925,321,0,high
378,-1550.181846,7.027614000000085,322,0,mid
379,-1551.335932,5.873528000000079,323,0,mid
38,-1545.768123,11.441336999999976,324,0,high
380,-1552.032862,5.176598000000013,325,0,mid
381,-1552.032866,5.176594000000023,326,0,mid
382,-1549.654381,7.555078999999978,327,0,high
383,-1550.001686,7.207773999999972,328,0,mid
384,-1548.139366,9.070093999999926,329,0,high
385,-1549.654359,7.555100999999922,330,0,high
386,-1548.295446,8.914013999999952,331,0,high
387,-1551.72453,5.484930000000077,332,0,mid
388,-1544.703547,12.505912999999964,333,0,high
389,-1550.760129,6.449331000000029,334,0,mid
39,-1550.21064,6.998820000000023,335,0,mid
390,-1548.655693,8.553767000000107,336,0,high
391,-1549.863735,7.3457250000001295,337,0,high
392,-1551.346542,5.862918000000036,338,0,mid
393,-1550.74041,6.469049999999925,2,0,mid
394,-1550.740406,6.469054000000142,339,0,mid
395,-1548.295444,8.914015999999947,340,0,high
396,-1548.913722,8.295738000000028,341,0,high
397,-1547.112538,10.09692199999995,342,0,high
398,-1551.604581,5.604878999999983,343,0,mid
399,-1551.400497,5.808962999999949,344,0,mid
4,-1551.374441,5.835019000000102,345,0,mid
40,-1550.210638,6.998822000000018,346,0,mid
400,-1548.002142,9.207317999999988,347,0,high
401,-1548.702202,8.507258000000093,348,0,high
402,-1549.05345,8.156009999999924,349,0,high
403,-1548.608567,8.600893000000042,350,0,high
404,-1550.809228,6.40023199999996,351,0,mid
405,-1550.233496,6.975963999999976,352,0,mid
406,-1550.594139,6.6153209999999945,353,0,mid
407,-1549.946961,7.262498999999934,354,0,mid
408,-1554.338684,2.870775999999978,355,0,low
409,-1547.290644,9.918816000000106,356,0,high
41,-1553.018359,4.191101000000117,357,0,mid
410,-1551.521198,5.6882620000001225,358,0,mid
411,-1549.49443,7.71503000000007,359,0,high
412,-1548.963051,8.246409000000085,360,0,high
413,-1550.69955,6.509909999999991,361,0,mid
414,-1550.268669,6.94079099999999,362,0,mid
415,-1550.807171,6.40228900000011,363,0,mid
416,-1552.851497,4.357962999999927,364,0,mid
417,-1548.429413,8.780046999999968,365,0,high
418,-1549.11832,8.091139999999996,366,0,high
419,-1549.12655,8.082910000000084,367,0,high
42,-1542.926861,14.282599000000118,368,0,high
420,-1545.23996,11.969499999999924,369,0,high
421,-1553.790334,3.4191260000000057,370,0,low
422,-1551.986642,5.222817999999961,3,0,mid
423,-1551.986646,5.222813999999971,371,0,mid
424,-1549.720817,7.488643000000138,372,0,high
425,-1550.594134,6.615326000000096,373,0,mid
426,-1550.699548,6.509911999999986,374,0,mid
427,-1548.270531,8.938929000000144,375,0,high
428,-1551.077819,6.131640999999945,376,0,mid
429,-1551.940378,5.269082000000026,377,0,mid
43,-1547.215543,9.99391700000001,378,0,high
430,-1551.413103,5.796356999999944,379,0,mid
431,-1550.186331,7.023128999999926,380,0,mid
432,-1549.946955,7.262505000000146,381,0,mid
433,-1551.618398,5.591061999999965,382,0,mid
434,-1548.91025,8.29921000000013,383,0,high
435,-1550.390155,6.819304999999986,384,0,mid
436,-1545.80435,11.405109999999922,385,0,high
437,-1546.797787,10.411673000000064,386,0,high
438,-1549.1211,8.088359999999966,387,0,high
439,-1548.115283,9.094176999999943,388,0,high
44,-1553.551724,3.6577360000001136,389,0,low
440,-1550.468499,6.74096099999997,390,0,mid
441,-1551.82777,5.381689999999935,391,0,mid
442,-1550.54743,6.662029999999959,392,0,mid
443,-1551.328773,5.88068700000008,393,0,mid
444,-1551.32878,5.880679999999984,394,0,mid
445,-1543.652431,13.557029000000057,395,0,high
446,-1551.346544,5.862916000000041,396,0,mid
447,-1550.778659,6.430800999999974,397,0,mid
448,-1550.016004,7.193455999999969,398,0,mid
449,-1550.761665,6.447795000000042,399,0,mid
45,-1551.115427,6.094033000000081,400,0,mid
450,-1550.845982,6.363477999999986,401,0,mid
451,-1551.656922,5.5525380000001405,402,0,mid
452,-1550.967516,6.241944000000103,403,0,mid
453,-1552.232624,4.976836000000048,404,0,mid
454,-1550.096917,7.11254299999996,405,0,mid
455,-1551.790458,5.419002000000091,4,0,mid
456,-1552.287844,4.9216160000000855,406,0,mid
457,-1548.343345,8.866115000000036,407,0,high
458,-1548.722512,8.486947999999984,5,0,high
459,-1548.124177,9.085283000000118,408,0,high
46,-1552.073648,5.135811999999987,409,0,mid
460,-1550.161542,7.0479179999999815,410,0,mid
461,-1548.124179,9.085281000000125,411,0,high
462,-1552.998814,4.210645999999997,412,0,mid
463,-1549.654759,7.554701000000023,413,0,high
464,-1551.656057,5.553403000000117,414,0,mid
465,-1549.737256,7.472204000000147,415,0,high
466,-1549.701493,7.507967000000008,416,0,high
467,-1548.472055,8.73740500000008,417,0,high
468,-1551.015165,6.194295000000011,418,0,mid
469,-1551.087303,6.122157000000016,419,0,mid
47,-1551.115428,6.09403199999997,420,0,mid
470,-1550.241691,6.967769000000089,421,0,mid
